date,open,low,high,close,volume,daily_volatility_percentage,20_days_moving_average_of_close_price,60_days_moving_average_of_close_price,20_days_moving_average_of_volume,60_days_moving_average_of_volume,turnover
2024-03-04,1.440000057220459,1.309999942779541,1.440000057220459,1.3700000047683716,34200,9.489059415214916,,,,,46854.00016307831
2024-03-05,1.3880000114440918,1.3389999866485596,1.399999976158142,1.350000023841858,27800,4.518517661650664,,,,,37530.00066280365
2024-03-06,1.4539999961853027,1.3300000429153442,1.4539999961853027,1.3799999952316284,90900,8.985503891189907,,,,,125441.99956655502
2024-03-07,1.3799999952316284,1.3799999952316284,1.440000057220459,1.409999966621399,8900,4.255323646042417,,,,,12548.99970293045
2024-03-08,1.3899999856948853,1.3899999856948853,1.4900000095367432,1.440000057220459,28700,6.944445824181537,,,,,41328.00164222717
2024-03-11,1.4800000190734863,1.4199999570846558,1.4800000190734863,1.4630000591278076,13000,4.101166067252289,,,,,19019.0007686615
2024-03-12,1.440000057220459,1.4220000505447388,1.5,1.4700000286102295,45500,5.30611890729037,,,,,66885.00130176544
2024-03-13,1.4900000095367432,1.4450000524520874,1.5,1.4500000476837158,62900,3.793099706153222,,,,,91205.00299930573
2024-03-14,1.4299999475479126,1.4199999570846558,1.465000033378601,1.4199999570846558,18500,3.1690195530944343,,,,,26269.99920606613
2024-03-15,1.4550000429153442,1.4199999570846558,1.5,1.475000023841858,54600,5.423731635405142,,,,,80535.00130176544
2024-03-18,1.4700000286102295,1.440000057220459,1.4800000190734863,1.4700000286102295,3800,2.721085787382208,,,,,5586.000108718872
2024-03-19,1.4700000286102295,1.4299999475479126,1.4809999465942383,1.475000023841858,8000,3.4576269980991974,,,,,11800.000190734863
2024-03-20,1.5,1.4500000476837158,1.8300000429153442,1.7699999809265137,274700,21.468926515621536,,,,,486218.9947605133
2024-03-21,1.809999942779541,1.7009999752044678,1.899999976158142,1.7599999904632568,258900,11.306818297271395,,,,,455663.9975309372
2024-03-22,1.7599999904632568,1.4900000095367432,1.7999999523162842,1.534999966621399,2136700,20.19543645084659,,,,,3279834.428679943
2024-03-25,1.5,1.3600000143051147,1.600000023841858,1.4600000381469727,169600,16.438356388082727,,,,,247616.00646972656
2024-03-26,1.399999976158142,1.350000023841858,1.4900000095367432,1.440000057220459,90200,9.722220842485129,,,,,129888.0051612854
2024-03-27,1.4700000286102295,1.4700000286102295,1.5049999952316284,1.5,43200,2.3333311080932617,,,,,64800.0
2024-03-28,1.5149999856948853,1.4500000476837158,1.5240000486373901,1.4900000095367432,18600,4.96644298523741,1.4794000148773194,,171180.0,,27714.000177383423
2024-04-01,1.5399999618530273,1.409999966621399,1.5700000524520874,1.4700000286102295,31900,10.884359368479474,1.4799000144004821,,171030.0,,46893.00091266632
2024-04-02,1.4199999570846558,1.3830000162124634,1.5,1.4500000476837158,19800,8.068964133789978,1.4839000165462495,,170310.0,,28710.000944137573
2024-04-03,1.5099999904632568,1.4199999570846558,1.559999942779541,1.5,85000,9.333332379659016,1.4914000153541564,,173170.0,,127500.0
2024-04-04,1.4800000190734863,1.4299999475479126,1.5,1.5,19200,4.666670163472494,1.497400015592575,,169585.0,,28800.0
2024-04-05,1.4600000381469727,1.3899999856948853,1.4709999561309814,1.399999976158142,39600,5.785712272536964,1.4969000160694121,,171120.0,,55439.99905586243
2024-04-08,1.3899999856948853,1.350000023841858,1.4299999475479126,1.3799999952316284,20100,5.797095940759548,1.4939000129699707,,170690.0,,27737.99990415573
2024-04-09,1.409999966621399,1.2999999523162842,1.409999966621399,1.3279999494552612,38900,8.283133922575537,1.4871500074863433,,171985.0,,51659.19803380966
2024-04-10,1.2999999523162842,1.2999999523162842,1.3849999904632568,1.3650000095367432,10300,6.227108978249763,1.481900006532669,,170225.0,,14059.500098228455
2024-04-11,1.399999976158142,1.2999999523162842,1.399999976158142,1.3600000143051147,39000,7.3529428522066915,1.477400004863739,,169030.0,,53040.000557899475
2024-04-12,1.3300000429153442,1.2999999523162842,1.399999976158142,1.3849999904632568,8700,7.220218377648491,1.475650006532669,,168540.0,,12049.499917030334
2024-04-15,1.399999976158142,1.3300000429153442,1.399999976158142,1.399999976158142,14000,4.999995316777831,1.4719000041484833,,166510.0,,19599.99966621399
2024-04-16,1.3799999952316284,1.3170000314712524,1.4500000476837158,1.4500000476837158,21800,9.17241460956657,1.4709000051021577,,167410.0,,31610.001039505005
2024-04-17,1.4299999475479126,1.375,1.5,1.409999966621399,8800,8.865248436815312,1.4676500022411347,,167450.0,,12407.99970626831
2024-04-18,1.3799999952316284,1.3799999952316284,1.465000033378601,1.465000033378601,8200,5.802050253264809,1.452400004863739,,154125.0,,12013.000273704529
2024-04-19,1.409999966621399,1.3899999856948853,1.4520000219345093,1.402999997138977,13900,4.419104516468683,1.434550005197525,,141875.0,,19501.69996023178
2024-04-22,1.399999976158142,1.3200000524520874,1.4299999475479126,1.3600000143051147,62600,8.08822749549963,1.4258000075817108,,38170.0,,85136.00089550018
2024-04-23,1.4299999475479126,1.2999999523162842,1.4500000476837158,1.399999976158142,28500,10.714292708708435,1.4228000044822693,,31115.0,,39899.99932050705
2024-04-24,1.3799999952316284,1.3799999952316284,1.4600000381469727,1.409999966621399,50200,5.673762043203308,1.4212999999523164,,29115.0,,70781.99832439423
2024-04-25,1.38100004196167,1.3799999952316284,1.4470000267028809,1.4470000267028809,3400,4.630271612635559,1.4186500012874603,,27125.0,,4919.800090789795
2024-04-26,1.4600000381469727,1.434999942779541,1.5499999523162842,1.4700000286102295,11800,7.823129748199169,1.4176500022411347,,26785.0,,17346.000337600708
2024-04-29,1.5700000524520874,1.4609999656677246,1.5700000524520874,1.4609999656677246,13900,7.460649510319886,1.4171999990940094,,25885.0,,20307.899522781372
2024-04-30,1.4700000286102295,1.4600000381469727,1.5,1.5,2900,2.6666641235351562,1.4196999967098236,,25040.0,,4350.0
2024-05-01,1.4850000143051147,1.4850000143051147,1.5,1.5,1800,0.9999990463256836,1.4196999967098236,,20880.0,,2700.0
2024-05-02,1.5,1.4800000190734863,1.5449999570846558,1.5449999570846558,29800,4.2071158457390085,1.4219499945640564,,21410.0,,46040.99872112274
2024-05-03,1.5570000410079956,1.5199999809265137,1.5570000410079956,1.5199999809265137,10100,2.434214509590231,1.427949994802475,,19935.0,,15351.999807357788
2024-05-06,1.5099999904632568,1.440000057220459,1.5099999904632568,1.4900000095367432,11700,4.697982066762642,1.4334499955177307,,19515.0,,17433.000111579895
2024-05-07,1.4550000429153442,1.4199999570846558,1.4700000286102295,1.4240000247955322,3300,3.5112409167796947,1.4382499992847442,,17735.0,,4699.200081825256
2024-05-08,1.402999997138977,1.399999976158142,1.4900000095367432,1.4800000190734863,4900,6.08108325802206,1.4439999997615813,,17465.0,,7252.000093460083
2024-05-09,1.409999966621399,1.409999966621399,1.5180000066757202,1.5099999904632568,3200,7.152320578570843,1.4514999985694885,,15675.0,,4831.999969482422
2024-05-10,1.409999966621399,1.409999966621399,1.4950000047683716,1.4600000381469727,1900,5.821920268910022,1.4552500009536744,,15335.0,,2774.000072479248
2024-05-13,1.4900000095367432,1.3569999933242798,1.4900000095367432,1.4800000190734863,9100,8.986487466109928,1.4592500030994415,,15090.0,,13468.000173568726
2024-05-14,1.4600000381469727,1.399999976158142,1.5099999904632568,1.5099999904632568,248800,7.284769205287714,1.4622500002384187,,26440.0,,375687.9976272583
2024-05-15,1.409999966621399,1.409999966621399,1.5,1.4900000095367432,10900,6.040270657889662,1.4662500023841858,,26545.0,,16241.0001039505
2024-05-16,1.440000057220459,1.440000057220459,1.5700000524520874,1.5499999523162842,34700,8.387096724574695,1.47049999833107,,27870.0,,53784.99834537506
2024-05-17,1.5099999904632568,1.4639999866485596,1.5800000429153442,1.5199999809265137,11900,7.631582744894313,1.4763499975204468,,27770.0,,18087.999773025513
2024-05-20,1.4800000190734863,1.4800000190734863,1.5499999523162842,1.4900000095367432,2400,4.697982066762642,1.4828499972820282,,24760.0,,3576.0000228881836
2024-05-21,1.4700000286102295,1.4600000381469727,1.4700000286102295,1.4700000286102295,1100,0.680271446845552,1.4863499999046326,,23390.0,,1617.0000314712524
2024-05-22,1.399999976158142,1.399999976158142,1.5290000438690186,1.4930000305175781,4600,8.640325858945632,1.4905000030994415,,21110.0,,6867.800140380859
2024-05-23,1.4550000429153442,1.399999976158142,1.5399999618530273,1.4839999675750732,6500,9.433961506323476,1.4923500001430512,,21265.0,,9645.999789237976
2024-05-24,1.3300000429153442,1.2699999809265137,1.4780000448226929,1.3200000524520874,40300,15.757579972045423,1.484850001335144,,22690.0,,53196.00211381912
2024-05-28,1.3200000524520874,1.2100000381469727,1.4199999570846558,1.3109999895095825,19500,16.01830058108846,1.477350002527237,,22970.0,,25564.49979543686
2024-05-29,1.2599999904632568,1.2599999904632568,1.4900000095367432,1.440000057220459,17200,15.97222291209077,1.4743500053882599,,23685.0,,24768.000984191895
2024-05-30,1.4600000381469727,1.3899999856948853,1.4800000190734863,1.3899999856948853,6200,6.474822611858408,1.4688500046730042,,23905.0,,8617.999911308289
2024-05-31,1.4479999542236328,1.350000023841858,1.4900000095367432,1.4900000095367432,14700,9.395972134148693,1.4661000072956085,,23150.0,,21903.000140190125
2024-06-03,1.4800000190734863,1.409999966621399,1.4800000190734863,1.4299999475479126,13700,4.895108742634554,1.4616000056266785,,23330.0,,19590.999281406403
2024-06-04,1.3899999856948853,1.3899999856948853,1.4800000190734863,1.440000057220459,2800,6.25000206960564,1.4591000080108643,,22885.0,,4032.000160217285
2024-06-05,1.4299999475479126,1.3309999704360962,1.4299999475479126,1.3309999704360962,10200,7.4380149745142,1.4544500052928924,,23230.0,,13576.199698448181
2024-06-06,1.3830000162124634,1.340000033378601,1.409999966621399,1.340000033378601,800,5.223875485010544,1.447450006008148,,23025.0,,1072.0000267028809
2024-06-07,1.3799999952316284,1.2300000190734863,1.3799999952316284,1.2699999809265137,8500,11.81102192211935,1.435450005531311,,23290.0,,10794.999837875366
2024-06-10,1.3899999856948853,1.2999999523162842,1.3899999856948853,1.3589999675750732,3600,6.622519170415604,1.430400002002716,,23375.0,,4892.399883270264
2024-06-11,1.340000033378601,1.3300000429153442,1.4800000190734863,1.4129999876022339,14800,10.615709658475085,1.4270500004291535,,23660.0,,20912.39981651306
2024-06-12,1.3300000429153442,1.2899999618530273,1.4800000190734863,1.3200000524520874,46400,14.393943156858738,1.417550003528595,,13540.0,,61248.002433776855
2024-06-13,1.340000033378601,1.2400000095367432,1.3600000143051147,1.3600000143051147,7900,8.82352966957026,1.4110500037670135,,13390.0,,10744.000113010406
2024-06-14,1.2999999523162842,1.2799999713897705,1.3300000429153442,1.3079999685287476,2500,3.8226355297098626,1.3989500045776366,,11780.0,,3269.999921321869
2024-06-17,1.2799999713897705,1.2799999713897705,1.3350000381469727,1.2999999523162842,5900,4.230774521122512,1.3879500031471252,,11480.0,,7669.999718666077
2024-06-18,1.3799999952316284,1.2599999904632568,1.3799999952316284,1.2799999713897705,3200,9.375000582076622,1.3774500012397766,,11520.0,,4095.9999084472656
2024-06-20,1.2400000095367432,1.2300000190734863,1.284999966621399,1.2400000095367432,4900,4.435479606847767,1.3659500002861023,,11710.0,,6076.0000467300415
2024-06-21,1.2300000190734863,1.2200000286102295,1.2599999904632568,1.25,3200,3.1999969482421875,1.3537999987602234,,11640.0,,4000.0
2024-06-24,1.2300000190734863,1.2100000381469729,1.2300000190734863,1.2100000381469729,5200,1.652890933552547,1.3401000022888183,,11575.0,,6292.000198364258
2024-06-25,1.2000000476837158,1.090000033378601,1.2200000286102295,1.159999966621399,23600,11.206896463132214,1.3320999979972838,,10740.0,,27375.99921226501
2024-06-26,1.190000057220459,1.1109999418258667,1.190000057220459,1.1799999475479126,2800,6.694925331035624,1.3255499958992003,,9905.0,,3303.9998531341557
