date,open,low,high,close,volume,daily_volatility_percentage,20_days_moving_average_of_close_price,60_days_moving_average_of_close_price,20_days_moving_average_of_volume,60_days_moving_average_of_volume,turnover
2024-03-14,61.0,57.0,61.0,57.0099983215332,3080.0,7.0163131341281995,,,,,175590.79483032227
2024-03-15,,,,,,,,,,,
2024-03-18,,,,,,,,,,,
2024-03-19,,,,,,,,,,,
2024-03-20,,,,,,,,,,,
2024-03-21,,,,,,,,,,,
2024-03-22,,,,,,,,,,,
2024-03-25,,,,,,,,,,,
2024-03-26,,,,,,,,,,,
2024-03-27,,,,,,,,,,,
2024-03-28,,,,,,,,,,,
2024-04-01,,,,,,,,,,,
2024-04-02,,,,,,,,,,,
2024-04-03,,,,,,,,,,,
2024-04-04,,,,,,,,,,,
2024-04-05,,,,,,,,,,,
2024-04-08,,,,,,,,,,,
2024-04-09,,,,,,,,,,,
2024-04-10,,,,,,,,,,,
2024-04-11,,,,,,,,,,,
2024-04-12,,,,,,,,,,,
2024-04-15,,,,,,,,,,,
2024-04-16,,,,,,,,,,,
2024-04-17,,,,,,,,,,,
2024-04-18,,,,,,,,,,,
2024-04-19,,,,,,,,,,,
2024-04-22,,,,,,,,,,,
2024-04-23,,,,,,,,,,,
2024-04-24,,,,,,,,,,,
2024-04-25,,,,,,,,,,,
2024-04-26,,,,,,,,,,,
2024-04-29,,,,,,,,,,,
2024-04-30,,,,,,,,,,,
2024-05-01,,,,,,,,,,,
2024-05-02,,,,,,,,,,,
2024-05-03,,,,,,,,,,,
2024-05-06,,,,,,,,,,,
2024-05-07,,,,,,,,,,,
2024-05-08,,,,,,,,,,,
2024-05-09,,,,,,,,,,,
2024-05-10,,,,,,,,,,,
2024-05-13,,,,,,,,,,,
2024-05-29,63.5,63.5,63.5,63.5,132.0,0.0,,,,,8382.0
2024-05-30,,,,,,,,,,,
2024-05-31,,,,,,,,,,,
2024-06-03,,,,,,,,,,,
2024-06-04,,,,,,,,,,,
2024-06-05,,,,,,,,,,,
2024-06-06,,,,,,,,,,,
2024-06-07,,,,,,,,,,,
2024-06-10,,,,,,,,,,,
2024-06-11,,,,,,,,,,,
2024-06-12,,,,,,,,,,,
2024-06-13,,,,,,,,,,,
2024-06-14,,,,,,,,,,,
2024-06-17,,,,,,,,,,,
2024-06-18,,,,,,,,,,,
2024-06-20,,,,,,,,,,,
2024-06-21,,,,,,,,,,,
2024-06-24,,,,,,,,,,,
